"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4528","secure area success message is visible after login test","webkit","2026-07-04","passed","2026-07-04","","login.spec.ts","",""
"","1523","logout link is visible after login","chromium","2026-07-04","passed","2026-07-04","","login.spec.ts","",""
"","2651","get started link","webkit","2026-07-04","passed","2026-07-04","","example.spec.ts","",""
"","6293","has title","webkit","2026-07-04","passed","2026-07-04","","example.spec.ts","",""
"","2047","logout link is visible after login","firefox","2026-07-04","passed","2026-07-04","","login.spec.ts","",""
"","2098","secure area success message is visible after login test","firefox","2026-07-04","passed","2026-07-04","","login.spec.ts","",""
"","2659","has title","firefox","2026-07-04","passed","2026-07-04","","example.spec.ts","",""
"","2088","get started link","firefox","2026-07-04","passed","2026-07-04","","example.spec.ts","",""
"","1009","has title","chromium","2026-07-04","passed","2026-07-04","","example.spec.ts","",""
"","1558","secure area success message is visible after login test","chromium","2026-07-04","passed","2026-07-04","","login.spec.ts","",""
"","2924","logout link is visible after login","webkit","2026-07-04","passed","2026-07-04","","login.spec.ts","",""
"","1406","get started link","chromium","2026-07-04","passed","2026-07-04","","example.spec.ts","",""
